,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2023-01-13,237.002,239.37,234.92,239.23,21333265,246.7430396295536,272.0480988856192,227.24490111438075,238.51,235.77,228.85,227.12,224.93,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,238.02760000000004,MSFT
2023-01-12,235.26,239.9,233.56,238.51,27269486,245.95894061721515,270.40499586378587,226.42900413621413,235.77,228.85,227.12,224.93,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,237.46680000000003,MSFT
2023-01-11,231.29,235.95,231.11,235.77,28669331,244.9885653203375,268.47959923441283,225.56940076558723,228.85,227.12,224.93,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,237.08200000000005,MSFT
2023-01-10,227.755,231.31,227.33,228.85,27033881,243.45155909935298,265.93933969553075,224.32166030446922,227.12,224.93,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,237.1508,MSFT
2023-01-09,226.45,231.2366,226.41,227.12,27369784,241.89617251846224,262.55512360087994,223.66187639911996,224.93,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,236.8964,MSFT
2023-01-06,223.0,225.7601,219.35,224.93,43613574,240.28034656432297,261.4608702912981,221.57212970870194,222.31,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,236.59439999999998,MSFT
2023-01-05,227.2,227.55,221.7602,222.31,39585623,238.5688849867684,259.76718794164117,219.66181205835883,229.1,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,236.7576,MSFT
2023-01-04,232.275,232.87,225.96,229.1,50623394,237.66708641659997,254.73793911923786,221.14106088076215,239.58,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,237.0364,MSFT
2023-01-03,243.08,245.75,237.4,239.58,25740036,237.84926866263808,252.60252788865208,221.95947211134794,239.82,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,237.622,MSFT
2022-12-30,238.21,239.96,236.66,239.82,21938472,238.03695736143445,251.44499766406292,222.3180023359371,241.01,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,238.29,MSFT
2022-12-29,235.65,241.92,235.65,241.01,19770693,238.32010427939306,251.23608050858115,222.3569194914188,234.53,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,239.1132,MSFT
2022-12-28,236.89,239.72,234.17,234.53,17457104,237.9591419670699,249.5478826706239,222.68211732937613,236.96,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,239.4976,MSFT
2022-12-27,238.7,238.93,235.83,236.96,16688648,237.86398558925373,247.7929702629329,223.33302973706714,238.73,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,239.77960000000002,MSFT
2022-12-23,236.11,238.87,233.9428,238.73,21206982,237.94646315218193,247.56379035307577,223.37420964692421,238.19,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,239.9852,MSFT
2022-12-22,241.255,241.99,233.87,238.19,28651664,237.96965713768842,247.04920218950394,223.5037978104961,244.43,241.8,240.45,244.69,249.01,257.22,256.92,252.51,245.42,247.4,244.37,245.12,250.2,255.02,254.69,255.14,240.33,241.76,247.49,240.24960000000002,MSFT
