,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2024-11-13,224.01,226.65,222.76,225.12,48566217,233.94869908626677,251.24011407196696,220.19588592803302,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,246.49,228.75520000000003,AAPL
2024-11-12,224.55,225.59,223.355,224.23,40398299,233.0231086970985,250.06706835758828,219.14293164241164,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,247.77,228.42800000000005,AAPL
2024-11-11,225.0,225.7,221.5,224.23,42005602,232.1856697735653,248.24069526631223,218.61530473368782,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,246.75,228.15760000000006,AAPL
2024-11-08,227.17,228.66,226.405,226.96,38328824,231.68798693798766,246.103690930166,218.77330906983406,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,242.84,227.99080000000006,AAPL
2024-11-07,224.625,227.875,224.57,227.48,42137691,231.28722627722692,244.5799163511102,218.7610836488898,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,243.04,228.02280000000007,AAPL
2024-11-06,222.61,226.065,221.19,222.72,54561121,230.47129996511006,242.98164330675434,218.3273566932457,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,243.01,228.1672000000001,AAPL
2024-11-05,221.795,223.95,221.14,223.45,28111338,229.8026047303377,240.93349272732962,218.41950727267033,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,242.65,228.37240000000006,AAPL
2024-11-04,220.99,222.79,219.71,222.01,44944468,229.06045189887695,238.60317772875786,218.6858222712422,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,239.59,228.51760000000004,AAPL
2024-11-01,220.965,225.35,220.27,222.91,65276741,228.4746945751744,236.6393032806499,218.98169671935008,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,237.33,228.62880000000007,AAPL
2024-10-31,229.34,229.83,225.37,225.91,64370086,228.2304379489673,234.8721458818609,219.6068541181391,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,234.93,228.85160000000002,AAPL
2024-10-30,232.61,233.47,229.55,230.1,47070907,228.40849147763709,233.87426459182856,220.12173540817142,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,235.06,228.98280000000005,AAPL
2024-10-29,233.1,234.325,232.32,233.67,35417247,228.90958752738592,233.48220453696896,220.374795463031,230.1,225.91,222.91,222.01,223.45,222.72,227.48,226.96,224.23,224.23,225.12,228.22,225.0,228.02,228.28,229.0,228.52,229.87,232.87,229.0848,AAPL
